,block_number,pool_address,liquidity_hex,max_liquidity_per_tick_hex,slot0_sqrt_price_x96_hex
0,16871334,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
1,16871333,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
2,16871332,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
3,16871331,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
4,16871330,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
5,16871329,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
6,16871328,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
7,16871327,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
8,16871326,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
9,16871325,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
10,16871324,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
11,16871323,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
12,16871322,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
13,16871321,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
14,16871320,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
15,16871319,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
16,16871318,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
17,16871317,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
18,16871316,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
19,16871315,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
20,16871314,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
21,16871313,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
22,16871312,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
23,16871311,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b827dbfeaf0d8bc8e49f
24,16871310,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b5eb3b5863ad7f25c849
25,16871309,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b5eb3b5863ad7f25c849
26,16871308,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b5eb3b5863ad7f25c849
27,16871307,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b5eb3b5863ad7f25c849
28,16871306,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b5eb3b5863ad7f25c849
29,16871305,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b5eb3b5863ad7f25c849
30,16871304,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b5eb3b5863ad7f25c849
31,16871303,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b5eb3b5863ad7f25c849
32,16871302,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82b5eb3b5863ad7f25c849
33,16871301,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ac14e06578cee7372748
34,16871300,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ac14e06578cee7372748
35,16871299,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ac14e06578cee7372748
36,16871298,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ac14e06578cee7372748
37,16871297,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ac14e06578cee7372748
38,16871296,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ac14e06578cee7372748
39,16871295,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82acb5ea2dd42b57f70224
40,16871294,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82acb5ea2dd42b57f70224
41,16871293,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82acb5ea2dd42b57f70224
42,16871292,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82acb5ea2dd42b57f70224
43,16871291,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82acb5ea2dd42b57f70224
44,16871290,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82abec71494a53e7f7be4c
45,16871289,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ad46eecdc4d2b428952a
46,16871288,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ad46eecdc4d2b428952a
47,16871287,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ad46eecdc4d2b428952a
48,16871286,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ad46eecdc4d2b428952a
49,16871285,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ad46eecdc4d2b428952a
50,16871284,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ad46eecdc4d2b428952a
51,16871283,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82ad46eecdc4d2b428952a
52,16871282,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82a94614fc5614987aad1c
53,16871281,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82a94614fc5614987aad1c
54,16871280,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff82a94614fc5614987aad1c
55,16871279,0x3416cf6c708da44db2624d63ea0aaef7113527c6,0x27fc500937af13,0x97451ff859c3282305ffa26a9c5,0xff81b70f5c1b620a4602ee57
